City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Nova Olimpia,BR,2022-04-18 19:13:42,-14.7972,-57.2881,85.84,42,14,3.89
260,Mnogovershinnyy,RU,2022-04-18 19:13:43,53.9353,139.9242,18.21,97,100,5.46
261,Andijon,UZ,2022-04-18 19:13:43,40.7821,72.3442,67.28,34,79,4.56
262,Isangel,VU,2022-04-18 19:13:44,-19.55,169.2667,78.3,86,100,5.1
263,Llanes,ES,2022-04-18 19:08:47,43.4198,-4.7549,55.17,94,100,5.84
264,Nivala,FI,2022-04-18 19:13:44,63.9167,24.9667,36.41,98,83,2.57
265,Kutum,SD,2022-04-18 19:13:45,14.2,24.6667,87.78,24,100,7.0
266,Mongomo,GQ,2022-04-18 19:13:46,1.6274,11.3135,70.12,98,97,3.15
267,Juba,SS,2022-04-18 19:13:47,4.8517,31.5825,81.91,52,10,4.56
268,Saint-Philippe,RE,2022-04-18 19:13:47,-21.3585,55.7679,77.22,88,22,11.18
269,Dali,CN,2022-04-18 19:13:48,25.7,100.1833,53.28,82,10,3.24
270,Arraial Do Cabo,BR,2022-04-18 19:13:49,-22.9661,-42.0278,76.86,69,0,4.61
271,Phalombe,MW,2022-04-18 19:13:49,-15.8064,35.6507,66.78,94,95,4.07
272,Mazara Del Vallo,IT,2022-04-18 19:13:50,37.6641,12.588,53.92,63,2,12.15
273,Sao Jose Da Coroa Grande,BR,2022-04-18 19:13:50,-8.8978,-35.1478,82.11,73,84,8.05
274,Lebu,CL,2022-04-18 19:13:51,-37.6167,-73.65,57.79,87,100,5.73
275,Shibata,JP,2022-04-18 19:13:51,37.95,139.3333,49.41,91,1,3.65
276,Airai,TL,2022-04-18 19:13:52,-8.9266,125.4092,60.24,87,99,2.46
277,Kwidzyn,PL,2022-04-18 19:13:52,53.7249,18.9311,42.28,63,100,10.56
278,Buta,CD,2022-04-18 19:13:53,2.7858,24.73,72.5,91,29,0.81
279,Khuzhir,RU,2022-04-18 19:13:54,53.1939,107.3397,38.43,90,100,5.73
280,Vidim,RU,2022-04-18 19:13:54,56.4088,103.1106,32.63,84,100,9.62
281,Chiang Rai,TH,2022-04-18 19:13:55,19.9167,99.9167,72.57,99,20,1.01
282,Malakal,SS,2022-04-18 19:13:55,9.5334,31.6605,94.32,29,10,5.32
283,Constantine,DZ,2022-04-18 19:13:56,36.365,6.6147,60.21,51,0,5.75
284,Talcahuano,CL,2022-04-18 19:13:56,-36.7167,-73.1167,60.48,82,75,10.36
285,Luderitz,NA,2022-04-18 19:13:57,-26.6481,15.1594,77.16,37,1,11.43
286,Algiers,DZ,2022-04-18 19:09:01,36.7525,3.042,64.22,48,75,6.91
287,Coquimbo,CL,2022-04-18 19:13:58,-29.9533,-71.3436,56.93,82,100,6.91
288,Los Llanos De Aridane,ES,2022-04-18 19:13:59,28.6585,-17.9182,65.95,73,75,14.97
289,Trapani,IT,2022-04-18 19:13:59,37.8333,12.6667,52.27,77,4,7.11
290,Koslan,RU,2022-04-18 19:14:00,63.4564,48.8989,32.31,98,100,3.18
291,Elblag,PL,2022-04-18 19:14:00,54.1522,19.4088,42.98,71,100,9.22
292,Nemuro,JP,2022-04-18 19:14:01,43.3236,145.575,35.82,98,100,10.11
